District,Blocks
Araria,Araria
Araria,Jokihat
Araria,Kursakanta
Araria,Raniganj
Araria,Sikti
Araria,Palasi
Araria,Forbesganj
Araria,Narpatganj
Araria,Bhargama
Arwal,Arwal
Arwal,Kaler
Arwal,Kapri
Arwal,Kurtha
Arwal,Sonbhadra-Bansi-Surajpur
Arwal,Jehanabad
Arwal,Ratni Faridpur
Aurangabad,Aurangabad
Aurangabad,Barun
Aurangabad,Navinagar
Aurangabad,Kutumba
Aurangabad,Madanpur
Aurangabad,Deo
Aurangabad,Rafiganj
Aurangabad,Obra
Aurangabad,Daudnagar
Aurangabad,Goh
Aurangabad,Haspura
Banka,Amarpur
Banka,Shambhuganj
Banka,Banka
Banka,Barahat
Banka,Belhar
Banka,Chandan
Banka,Fullidumar
Banka,Dhuraiya
Banka,Rajaun
Banka,Bausi
Banka,Katoria
Begusarai,Begusarai
Begusarai,Barauni
Begusarai,Matihani
Begusarai,Birpur
Begusarai,Samho Akha Kurha
Begusarai,Cheriya Bariyarpur
Begusarai,Chhorahi
Begusarai,Khudabandpur
Begusarai,Balia
Begusarai,Dandari
Begusarai,Sahebpur Kamal
Begusarai,Bakhari
Begusarai,Garhpura
Begusarai,Nawkothi
Begusarai,Teghara
Begusarai,Bachhwara
Begusarai,Bhagwanpur
Begusarai,Mansoorchak
Bhagalpur,Goradih
Bhagalpur,Jagdishpur
Bhagalpur,Nathnagar
Bhagalpur,Sabour
Bhagalpur,Shahkund
Bhagalpur,Sultanganj
Bhagalpur,Kahalgaon
Bhagalpur,Pirpainty
Bhagalpur,Sanhaula
Bhagalpur,Bihpur
Bhagalpur,Gopalpur
Bhagalpur,Ismailpur
Bhagalpur,Kharik
Bhagalpur,Narayanpur
Bhagalpur,Naugachhiya
Bhagalpur,Rangrachowk
Bhojpur,Arrah
Bhojpur,Agiaon
Bhojpur,Barhara
Bhojpur,Koilwar
Bhojpur,Udwantnagar
Bhojpur,Sandesh
Bhojpur,Sahar
Bhojpur,Garhani
Bhojpur,Jagdishpur
Bhojpur,Bihiya
Bhojpur,Shahpur
Bhojpur,Piro
Bhojpur,Charpokhari
Bhojpur,Tarari
Buxar,Buxar
Buxar,Itarhi
Buxar,Chausa
Buxar,Rajpur
Buxar,Dumraon
Buxar,Nawanagar
Buxar,Brahampur
Buxar,Kesath
Buxar,Chakki
Buxar,Chougain
Buxar,Simri
Darbhanga,Darbhanga Sadar
Darbhanga,Bahadurpur
Darbhanga,Keoti
Darbhanga,Singhwara
Darbhanga,Jale
Darbhanga,Manigachhi
Darbhanga,Tardih
Darbhanga,Baheri
Darbhanga,Hayaghat
Darbhanga,Hanuman Nagar
Darbhanga,Benipur
Darbhanga,Alinagar
Darbhanga,Biraul
Darbhanga,Ghanshyampur
Darbhanga,Kusheshwar Asthan
Darbhanga,Kusheshwar Asthan East
Darbhanga,Kiratpur
Darbhanga,Gaura Bauram
East Champaran,Banjaria
East Champaran,Motihari
East Champaran,Piprakothi
East Champaran,Kotowa
East Champaran,Sugauli
East Champaran,Turkaulia
East Champaran,Sangrampur
East Champaran,Harsidhi
East Champaran,Areraj
East Champaran,Paharpur
East Champaran,Raxaul
East Champaran,Ramgarhwa
East Champaran,Adapur
East Champaran,Chauradano
East Champaran,Bankatwa
East Champaran,Chiraiya
East Champaran,Ghorasahan
East Champaran,Dhaka
East Champaran,Madhuban
East Champaran,Tetaria
East Champaran,Patahi
East Champaran,Phenhara
East Champaran,Pakaridayal
East Champaran,Chakia
East Champaran,Mehsi
East Champaran,Kesaria
East Champaran,Kalyanpur
Gaya,Gaya Sadar
Gaya,Belaganj
Gaya,Wazirganj
Gaya,Manpur
Gaya,Bodhgaya
Gaya,Tankuppa
Gaya,Fatehpur
Gaya,Khizarsarai
Gaya,Atri
Gaya,Bathani
Gaya,Mohra
Gaya,Gurua
Gaya,Amas
Gaya,Banke Bazar
Gaya,Imamganj
Gaya,Dumariya
Gaya,Sherghati
Gaya,Dobhi
Gaya,Mohanpur
Gaya,Barachatti
Gaya,Konch
Gaya,Tekari
Gaya,Guraru
Gaya,Paraiya
Gopalganj,Baikunthpur
Gopalganj,Barauli
Gopalganj,Gopalganj
Gopalganj,Kuchaikote
Gopalganj,Manjha
Gopalganj,Thawe
Gopalganj,Sidhwaliya
Gopalganj,Bhorey
Gopalganj,Hathua
Gopalganj,Kateya
Gopalganj,Panchdewari
Gopalganj,Phulwariya
Gopalganj,Uchkagaon
Gopalganj,Vijayipur
Jamui,Jamui
Jamui,Sikandra
Jamui,Khaira
Jamui,Chakai
Jamui,Sono
Jamui,Laxmipur
Jamui,Jhajha
Jamui,Barhat
Jamui,Gidhour
Jamui,Islamnagaraliganj
Jehanabad,Ghoshi
Jehanabad,Hulasganj
Jehanabad,Kako
Jehanabad,Modanganj
Jehanabad,Makhdumpur
Kaimur,Adhuara
Kaimur,Bhabhua
Kaimur,Bhagwanpur
Kaimur,Chainpur
Kaimur,Chand
Kaimur,Rampur
Kaimur,Durgawati
Kaimur,Kudra
Kaimur,Mohania
Kaimur,Ramgarh
Kaimur,Nuaon
Katihar,Katihar
Katihar,Dandkhora
Katihar,Hasanganj
Katihar,Korha
Katihar,Sameli
Katihar,Falka
Katihar,Kursela
Katihar,Barari
Katihar,Mansahi
Katihar,Pranpur
Katihar,Barsoi
Katihar,Balrampur
Katihar,Azamnagar
Katihar,Kadwa
Katihar,Manihari
Katihar,Amdabad
Khagaria,Alauli
Khagaria,Khagaria
Khagaria,Chautham
Khagaria,Mansi
Khagaria,Gogri
Khagaria,Beldaur
Khagaria,Parbatta
Kishanganj,Bahadurganj
Kishanganj,Dighalbank
Kishanganj,Kishanganj
Kishanganj,Kochadhaman
Kishanganj,Pothia
Kishanganj,Terhagachh
Kishanganj,Thakurganj
Lakhisarai,Barahiya
Lakhisarai,Halsi
Lakhisarai,Lakhisarai
Lakhisarai,Ramgarh Chowk
Lakhisarai,Channan
Lakhisarai,Surajgarha
Lakhisarai,Pipariya
Madhepura,Madhepura
Madhepura,Singheshwar
Madhepura,Murliganj
Madhepura,Gamharia
Madhepura,Ghailar
Madhepura,Kumarkhand
Madhepura,Shankarpur
Madhepura,Chausa
Madhepura,Puraini
Madhepura,Gwalpara
Madhepura,Bihariganj
Madhepura,Udakishunganj
Madhepura,Alamnagar
Madhubani,Rahika
Madhubani,Harlakhi
Madhubani,Madhwapur
Madhubani,Pandaul
Madhubani,Jainagar
Madhubani,Laukaha (Khutauna)
Madhubani,Laukahi
Madhubani,Phulparas
Madhubani,Ghoghardiha
Madhubani,Andhratharhi
Madhubani,Rajnagar
Madhubani,Benipatti
Madhubani,Bisfi
Madhubani,Babu Barhi
Madhubani,Kaluahi
Madhubani,Khajauli
Madhubani,Ladania
Madhubani,Jhanjharpur
Madhubani,Lakhnaur
Madhubani,Madhepur
Madhubani,Basopatti
Munger,Sadar
Munger,Jamalpur
Munger,Bariarpur
Munger,Dharahra
Munger,Haveli Kharagpur
Munger,Tetia Bambar
Munger,Tarapur
Munger,Asarganj
Munger,Sangrampur
Muzaffarpur,Aurai
Muzaffarpur,Bandra
Muzaffarpur,Bochahan
Muzaffarpur,Gaighat
Muzaffarpur,Mushahari
Muzaffarpur,Katra
Muzaffarpur,Minapur
Muzaffarpur,Muraul
Muzaffarpur,Sakra
Muzaffarpur,Kanti
Muzaffarpur,Kurhani
Muzaffarpur,Marwan
Muzaffarpur,Paroo
Muzaffarpur,Sahebganj
Muzaffarpur,Motipur
Muzaffarpur,Saraiya
Nalanda,Asthawan
Nalanda,Bena
Nalanda,Biharsharif
Nalanda,Bind
Nalanda,Giriyak
Nalanda,Harnaut
Nalanda,Nagarnausa
Nalanda,Noorsarai
Nalanda,Rahui
Nalanda,Chandi
Nalanda,Ekangarsarai
Nalanda,Hilsa
Nalanda,Islampur
Nalanda,Karai Parsurai
Nalanda,Parwalpur
Nalanda,Sarmera
Nalanda,Tharthari
Nalanda,Katrisarai
Nalanda,Rajgir
Nalanda,Silao
Nawada,Hisua
Nawada,Kashichak
Nawada,Kawakole
Nawada,Nardiganj
Nawada,Nawada
Nawada,Pakribarawan
Nawada,Warisaliganj
Nawada,Akbarpur
Nawada,Govindpur
Nawada,Meskaur
Nawada,Narhat
Nawada,Rajauli
Nawada,Roh
Nawada,Siradala
Patna,Patna Sadar
Patna,Sampatchak
Patna,Phulwarisarif
Patna,Fatwah
Patna,Daniyawan
Patna,Khusrupur
Patna,Athmal Gola
Patna,Mokama
Patna,Belchhi
Patna,Ghoswari
Patna,Pandarak
Patna,Bakhtiyarpur
Patna,Barh
Patna,Danapur
Patna,Maner
Patna,Bihta
Patna,Naubatpur
Patna,Masaurhi
Patna,Punpun
Patna,Dhanarua
Patna,Paliganj
Patna,Dulhinbazar
Patna,Bikram
Purnia,Purnea East
Purnia,Jalalgarh
Purnia,Kasba
Purnia,Krityanand Nagar
Purnia,Srinagar
Purnia,Dhamdaha
Purnia,Rupauli
Purnia,Bhawanipur
Purnia,Barhara
Purnia,Banmankhi
Purnia,Amour
Purnia,Baisa
Purnia,Baisi
Purnia,Dagarua
Rohtas,Sasaram
Rohtas,Shivsagar
Rohtas,Chenari
Rohtas,Kargahar
Rohtas,Kochas
Rohtas,Nokha
Rohtas,Bikramganj
Rohtas,Karakat
Rohtas,Nasriganj
Rohtas,Dawath
Rohtas,Rajpur
Rohtas,Sanjhauli
Rohtas,Suryapura
Rohtas,Dinara
Rohtas,Dehri
Rohtas,Akodhigola
Rohtas,Nauhatta
Rohtas,Rohtas
Rohtas,Tilouthu
Saharsa,Nauhatta
Saharsa,Sattar Kataiya
Saharsa,Mahishi
Saharsa,Kahara
Saharsa,Sour Bazar
Saharsa,Patarghat
Saharsa,Sonbarsa
Saharsa,Simri-Bakhtiyarpur
Saharsa,Salkhua
Saharsa,Banma Itahri
Samastipur,Samastipur
Samastipur,Tajpur
Samastipur,Morwa
Samastipur,Khanpur
Samastipur,Sarairanjan
Samastipur,Pusa
Samastipur,Warishnagar
Samastipur,Kalyanpur
Samastipur,Dalsinghsarai
Samastipur,Ujiyarpur
Samastipur,Vidyapatinagar
Samastipur,Rosera
Samastipur,Hasanpur
Samastipur,Bithan
Samastipur,Shivajinagar
Samastipur,Singhiya
Samastipur,Bibhutipur
Samastipur,Patori
Samastipur,Mohanpur
Samastipur,Mohiuddin Nagar
Saran,Chapra Sadar
Saran,Dariyapur
Saran,Ekma
Saran,Garkha
Saran,Jalalpur
Saran,Manjhi
Saran,Nagra
Saran,Rivilganj
Saran,Amnour
Saran,Baniyapur
Saran,Isuapur
Saran,Lahladpur
Saran,Marhaura
Saran,Mashrak
Saran,Panapur
Saran,Taraiya
Saran,Dighwara
Saran,Maker
Saran,Parsa
Saran,Sonepur
Sheikhpura,Ariari
Sheikhpura,Chewara
Sheikhpura,Ghatkusumbha
Sheikhpura,Sheikhpura
Sheikhpura,Barbigha
Sheikhpura,Shekhopur Sarai
Sheohar,Tariyani
Sheohar,Dumari Katsari
Sheohar,Piprahi
Sheohar,Purnahiya
Sheohar,Sheohar
Sheohar,Belsand
Sheohar,Parsauni
Sitamarhi,Bairgania
Sitamarhi,Bajpatti
Sitamarhi,Bathnaha
Sitamarhi,Dumra
Sitamarhi,Majorganj
Sitamarhi,Parihar
Sitamarhi,Parsauni
Sitamarhi,Sonbarsa
Sitamarhi,Suppi
Sitamarhi,Belsand
Sitamarhi,Runni Saidpur
Sitamarhi,Bokhra
Sitamarhi,Choraut
Sitamarhi,Nanpur
Sitamarhi,Pupri
Sitamarhi,Riga
Sitamarhi,Sursand
Siwan,Siwan
Siwan,Mairwa
Siwan,Darauli
Siwan,Guthani
Siwan,Hasan Pura
Siwan,Hussainganj
Siwan,Ziradei
Siwan,Andar
Siwan,Raghunathpur
Siwan,Siswan
Siwan,Barharia
Siwan,Pachrukhi
Siwan,Maharajganj
Siwan,Duraondha
Siwan,Goreakothi
Siwan,Basantpur
Siwan,Bhagwanpur
Siwan,Lakri Nabiganj
Supaul,Supaul
Supaul,Kishanpur
Supaul,Saraigarh-Bhaptiyahi
Supaul,Pipra
Supaul,Basantpur
Supaul,Raghopur
Supaul,Pratapganj
Supaul,Nirmali
Supaul,Marauna
Supaul,Triveniganj
Supaul,Chhatapur
Vaishali,Bhagwanpur
Vaishali,Bidupur
Vaishali,Goraul
Vaishali,Hajipur
Vaishali,Jandaha
Vaishali,Vaishali
Vaishali,Chehra Kalan
Vaishali,Mahnar
Vaishali,Raghopur
Vaishali,Desari
Vaishali,Mahua
Vaishali,Patedhi Belsar
Vaishali,Patepur
Vaishali,Lalganj
Vaishali,Rajapakar
Vaishali,Sahdei Buzurg
West Champaran,Bagaha 1
West Champaran,Bagaha 2
West Champaran,Thakaraha
West Champaran,Madhubani
West Champaran,Bettiah
West Champaran,Piprasi
West Champaran,Nautan
West Champaran,Bairiya
West Champaran,Majhaulia
West Champaran,Bhitaha
West Champaran,Lauriya
West Champaran,Chanpatia
West Champaran,Mainatand
West Champaran,Sikta
West Champaran,Yogapatti
West Champaran,Narkatiaganj
West Champaran,Gaunaha
West Champaran,Ramnagar